mol_index,structure_id,smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,transformation,left_fragment,right_fragment,flag,sascore
0,Str_g_8942,CCCCc1cc(OC)c2cc([N+](=O)[O-])c3c(C(=O)O)cc4c(c3c2c1)OCO4,-4.1982093,3.2431304,5.68873,0.0125555,0.0005324,0.0023609,0.001902,0.0023921,-4.6885695,1.93e-05,0.0795714,98.48189,0.4194896,1.686215,0.7772023,0.2100936,0.2847713,0.0787915,0.8279564,0.6203884,0.7817384,0.1446206,0.3448669,0.0299037,3.4587932,0.2655627,0.144865,0.2755396,0.9795206,0.8872514,0.0434697,0.8147562,0.8769338,0.9141396,0.0045995,0.2597752,0.9431282,0.715964,4.196977,5.5841827,5.079958,0.0184943,0.2673722,0.9760559,0.0567705,0.3649577,0.3192456,0.7608206,0.8741509,0.5088558,0.7907338,0.9483628,0.9693915,[1*][H]>>[1*]CCCC,[1*][H],[1*]CCCC,left,2.7240803
1,Str_g_8422,CSc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,-4.259408,2.561055,4.4657164,0.0010044,0.0005518,0.008285,0.0015378,0.0051328,-4.821571,2.21e-05,0.1608528,97.41086,0.3992011,1.3475392,0.8781015,0.1646172,0.2199223,0.0665901,0.7736318,0.3071872,0.8032826,0.1338484,0.3483726,0.0442246,4.3199534,0.2464882,0.0359955,0.2949283,0.9882218,0.9591748,0.0315196,0.5515729,0.8797171,0.9280529,0.0048679,0.5518918,0.9384183,0.5814952,3.7395487,4.978147,5.0234838,0.0052277,0.3974095,0.9812011,0.0153744,0.2574887,0.3480731,0.5952466,0.8862825,0.4307912,0.7794707,0.9440392,0.9486223,[1*]O[2*]>>[1*]S[2*],[1*]O[2*],[1*]S[2*],left,2.7925189
2,Str_g_8847,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)c(C(=O)[O-])c3c(c12)OCO3,-3.1061382,0.3680687,1.672015,0.0030244,6.89e-05,0.0104808,0.0082574,0.0012205,-5.211577,4.67e-05,0.0279497,92.42451,0.5201544,5.5086536,0.3288452,0.1589818,0.0311201,0.0555502,0.4783322,0.1841897,0.6285417,0.104106,0.2157884,0.007612,1.6311733,0.7284322,0.0757916,0.8521365,0.9931135,0.9241095,0.0224592,0.0236087,0.8134514,0.9181293,0.0037023,0.7652268,0.8992599,0.397634,3.2709172,4.130331,4.4633384,0.0299684,0.0404097,0.9516225,0.0030578,0.0845646,0.2065635,0.0140245,0.501191,0.0112664,0.1505746,0.8878641,0.7285064,[1*][H]>>[1*]C(=O)[O-],[1*][H],[1*]C(=O)[O-],left,3.1482485
3,Str_g_5564,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCCO3,-4.410742,2.4638414,3.617282,0.0025543,0.0003127,0.0045294,0.0027173,0.0022851,-4.8878055,3.04e-05,0.0455345,94.308266,0.4689974,5.2375236,0.6781702,0.4634363,0.135448,0.0674975,0.668356,0.3680644,0.6129001,0.1444361,0.0953363,0.0407906,2.4452534,0.4669831,0.34607,0.2736154,0.9842474,0.8933619,0.0575901,0.2003127,0.9174522,0.8969871,0.0038982,0.5285086,0.7597758,0.494388,3.5782197,4.7747993,4.64193,0.0947619,0.5807494,0.9761255,0.3386533,0.2183535,0.3705324,0.8837742,0.9032848,0.5133426,0.7826065,0.9321302,0.9592386,[1*]CO[2*]>>[1*]CCO[2*],[1*]CO[2*],[1*]CCO[2*],left,2.5946763
4,Str_g_8974,COc1cccc2c1c(CCO)c([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,-4.007264,1.6958956,3.2239132,0.0039073,0.0003725,0.0045942,0.0039724,0.006825,-4.946406,4.96e-05,0.035486,94.03421,0.890589,7.1129594,0.689693,0.4996408,0.0734375,0.0749736,0.5423425,0.6179162,0.7354445,0.1435562,0.1616881,0.0348424,4.4107256,0.6506166,0.0379845,0.3726038,0.9820114,0.4686566,0.015614,0.0484984,0.5899458,0.908448,0.0126701,0.6259136,0.5265264,0.7183763,3.302065,4.1750236,4.061798,0.0093679,0.0895922,0.8519425,0.029464,0.1371592,0.7641986,0.2782556,0.7650164,0.1308734,0.0570319,0.9091253,0.9403812,[1*][H]>>[1*]CCO,[1*][H],[1*]CCO,left,2.906291
5,Str_g_9173,O=C(O)c1cc2c(c3c1c([N+](=O)[O-])cc1c(OCc4ccccc4)cccc13)OCO2,-4.384762,3.4388757,5.0964947,0.0044489,0.0001053,0.0031391,0.0011051,0.0153854,-4.858197,5.53e-05,0.0619052,98.80028,0.3378634,0.7346593,0.8233086,0.1189637,0.3912416,0.0619711,0.889375,0.3736676,0.7935592,0.1419075,0.4663892,0.0457452,4.679244,0.2167704,0.3083123,0.3956609,0.9855211,0.9586256,0.0232982,0.4444128,0.9153098,0.8946938,0.0034391,0.2297372,0.8810719,0.8901659,4.207673,5.6123166,5.0016923,0.0083216,0.5035979,0.9792362,0.0315928,0.4439106,0.306838,0.8307962,0.9003652,0.4531532,0.8238026,0.949231,0.9573545,[1*][H]>>[1*]c1ccccc1,[1*][H],[1*]c1ccccc1,left,2.517838
6,Str_g_11489,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCCCO3,-4.4432516,2.6860275,3.905552,0.0048694,0.0003211,0.0040793,0.0022311,0.001857,-4.875258,2.12e-05,0.0590447,94.32711,0.4237018,5.646085,0.6705001,0.4490958,0.171458,0.0745924,0.7175114,0.3659282,0.6231048,0.144985,0.1100926,0.0387616,2.0137568,0.4258799,0.2998722,0.2749226,0.9837272,0.955222,0.0423869,0.2968873,0.9224848,0.9110247,0.0037608,0.3601878,0.7433034,0.5394692,3.6076388,4.96117,4.6523657,0.203709,0.5419901,0.9752678,0.6022478,0.1419193,0.3417444,0.9019159,0.8979313,0.3646807,0.801573,0.9307855,0.9611229,[2*][1*]>>[1*]CC[2*],[2*][1*],[1*]CC[2*],left,2.6375671
7,Str_g_11527,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)C[C@H](C)OCO3,-4.387108,2.711037,4.724959,0.0027596,0.0005929,0.00481,0.0029941,0.6132102,-4.767845,2.98e-05,0.0627304,94.39518,0.4700047,4.9953203,0.3767738,0.8555945,0.0918624,0.0940528,0.635185,0.3005456,0.0792447,0.1337492,0.0737964,0.0481871,3.9405344,0.3057411,0.1145482,0.6339209,0.9833582,0.9705569,0.0372527,0.6105764,0.9291375,0.9252286,0.0058649,0.4880626,0.9434862,0.69369,3.8704927,4.85262,4.529346,0.0418992,0.7382775,0.9674717,0.1840766,0.4113802,0.7207372,0.9227329,0.8787311,0.4331836,0.7026446,0.9261394,0.9575525,[2*][1*]>>[1*]C[C@@H]([2*])C,[2*][1*],[1*]C[C@@H]([2*])C,left,3.3245627
8,Str_g_11489,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)CCO)cc3c(c12)OCO3,-6.234023,2.9479938,3.288767,0.1468518,0.0002058,0.0026752,0.0022917,0.0028567,-4.8157077,7.03e-05,0.0443885,93.563,1.1384071,5.22288,0.9488189,0.356514,0.9154747,0.1371092,0.806106,0.8806413,0.8144786,0.38047,0.8637031,0.0933018,10.321414,0.3348072,0.0372898,0.514286,0.9406958,0.9469121,0.0755354,0.5807746,0.9095346,0.9451821,0.0063818,0.6759117,0.5831932,1.68281,4.3572907,5.537507,5.637191,0.0060063,0.5607468,0.98706,0.404498,0.3335541,0.6552353,0.6625679,0.9107683,0.7528604,0.6579353,0.9491456,0.9767776,[2*][1*]>>[1*]CC[2*],[2*][1*],[1*]CC[2*],left,2.7781875
9,Str_g_8928,CCCc1ccc(OC)c2cc([N+](=O)[O-])c3c(C(=O)O)cc4c(c3c12)OCO4,-4.4822526,2.9721665,5.152785,0.0063525,0.0004056,0.0031819,0.0020715,0.0016947,-4.6923842,1.72e-05,0.0687416,97.69153,0.4198922,1.778671,0.8117944,0.2275695,0.2668936,0.075649,0.8074178,0.6867489,0.771015,0.1500083,0.2901856,0.0327459,2.944746,0.327363,0.146823,0.3052584,0.9802086,0.9361154,0.0388427,0.5646556,0.8923476,0.9341578,0.0062171,0.396546,0.9305995,0.6760216,3.8772569,5.2982664,5.0601506,0.011102,0.4920078,0.9780685,0.0184345,0.28821,0.6928404,0.5250651,0.8743441,0.5874828,0.6738934,0.9521496,0.9676626,[1*][H]>>[1*]CCC,[1*][H],[1*]CCC,left,2.8007034
10,Str_g_11654,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCOS3(=O)=O,-3.8270345,1.4494511,2.9990885,0.0016108,0.0002105,0.0119738,0.0105847,0.0073319,-5.25953,5.66e-05,0.0128938,95.186386,0.343769,2.8289661,0.2657871,0.7219118,0.0506697,0.0632649,0.3352256,0.2865133,0.0556377,0.1244632,0.0338096,0.027091,0.7967626,0.2941643,0.0911971,0.6479308,0.9885067,0.9704138,0.0774221,0.7089625,0.9031972,0.9273351,0.0048156,0.5345871,0.9564125,0.4916506,3.6798685,5.2585225,4.6290436,0.0419981,0.0771281,0.8897219,0.0098018,0.2016514,0.0875494,0.3429678,0.5316128,0.0183669,0.0349401,0.7844035,0.7000035,[2*][1*]>>[1*]S([2*])(=O)=O,[2*][1*],[1*]S([2*])(=O)=O,left,3.161343
11,Str_g_8998,COc1c(CO)ccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,-4.0922794,1.6266567,2.9797497,0.0015177,0.0005627,0.0059835,0.0030491,0.0022827,-4.898172,2.55e-05,0.0418495,93.9793,0.7371111,7.2610087,0.7218518,0.2364594,0.0901267,0.0665442,0.4474563,0.1253678,0.6946408,0.1338825,0.1961007,0.0310546,4.5262184,0.6069556,0.0572254,0.4064443,0.9837413,0.9012554,0.0825266,0.153853,0.5923214,0.9273824,0.0032592,0.1840015,0.8274968,0.4505458,3.2470498,4.2690125,4.0176964,0.013787,0.2325446,0.9680457,0.0313138,0.233432,0.3520129,0.3161583,0.8219458,0.2914773,0.5308152,0.9401907,0.9469272,[1*][H]>>[1*]CO,[1*][H],[1*]CO,left,2.8078386
12,Str_g_9173,COc1cccc2c1c(-c1ccccc1)c([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,-4.4775515,3.1378675,5.2876863,0.1249218,0.0001001,0.0040579,0.0010977,0.0094476,-4.8168774,3.07e-05,0.0373875,97.028625,0.3719075,1.2367524,0.7476278,0.1800277,0.2915609,0.0647876,0.8902586,0.7323067,0.7541051,0.1518953,0.2098631,0.0545361,1.8264565,0.2120935,0.2710943,0.3466742,0.987411,0.8559877,0.0087974,0.1558324,0.8688495,0.8984001,0.0045286,0.326263,0.9195106,1.1806257,3.8961077,5.538869,5.4064584,0.0082564,0.5516566,0.95775,0.0340344,0.385023,0.6745968,0.3158581,0.8598579,0.732837,0.2227392,0.9385654,0.9788024,[1*][H]>>[1*]c1ccccc1,[1*][H],[1*]c1ccccc1,left,2.6732301
13,Str_g_8415,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)O[C@@H](C)CO3,-4.2719455,2.5458674,4.4759655,0.0144353,0.0002626,0.0044453,0.0013739,0.0009913,-4.8424277,2.73e-05,0.086277,94.23853,0.419357,6.3425446,0.5313088,0.5460832,0.1417417,0.0850066,0.735189,0.3265543,0.5797215,0.1434718,0.0818518,0.05826,2.1841679,0.4642169,0.1546324,0.7938154,0.9836918,0.9735447,0.0634415,0.578941,0.921849,0.9122521,0.0042245,0.3786712,0.9055988,0.516348,3.64955,4.886246,4.6722455,0.178785,0.6470036,0.9694537,0.2232468,0.247195,0.5562164,0.9143118,0.896002,0.4836922,0.8043812,0.9333841,0.9482478,[1*]O[2*]>>[1*]O[C@H]([2*])C,[1*]O[2*],[1*]O[C@H]([2*])C,left,3.215437
14,Str_g_11554,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCN(C)O3,-3.9585865,1.4975826,2.6603494,0.0024601,0.001923,0.0432874,0.0057689,0.0016192,-4.834087,3.61e-05,0.0469186,92.89501,1.6872482,7.8476114,0.6147684,0.9513955,0.1059318,0.1019917,0.3456238,0.2775344,0.4331566,0.1504326,0.0275658,0.0734392,6.4881473,0.364801,0.0731152,0.9140467,0.9869307,0.9786392,0.4327556,0.6645956,0.8591728,0.9457559,0.0037485,0.4590728,0.947745,0.4695066,3.6998985,5.2621493,4.815394,0.0273367,0.3559882,0.9611309,0.0431165,0.0704746,0.5213683,0.4484544,0.696908,0.2745586,0.6357555,0.8881325,0.9186908,[2*][1*]>>[1*]N([2*])C,[2*][1*],[1*]N([2*])C,left,3.0928829
15,Str_g_8910,COc1cccc2c1c(CC(=O)[O-])c([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,-3.3919015,0.241293,1.7429544,0.0011219,0.0001967,0.0094976,0.0036961,0.0128067,-5.144133,0.0001597,0.0369636,94.065094,0.3673572,7.205707,0.3429326,0.207779,0.0244329,0.0617088,0.6674279,0.6479993,0.1805798,0.1079258,0.2116588,0.0213555,1.9808424,0.9086812,0.0108013,0.819574,0.9868112,0.7326816,0.0460615,0.0213434,0.837312,0.8723518,0.0130592,0.4362063,0.3886234,0.4767465,3.4425435,4.534408,4.5036354,0.0098816,0.0333153,0.8022068,0.0097182,0.1374987,0.7223751,0.1289887,0.5088356,0.0115043,0.0476324,0.6277948,0.7754238,[1*][H]>>[1*]CC(=O)[O-],[1*][H],[1*]CC(=O)[O-],left,3.2028449
16,Str_g_8903,CCOC(=O)c1cc2c(c3c1c([N+](=O)[O-])cc1c(OC)cccc13)OCO2,-7.306285,3.4697163,4.5927854,0.5964234,0.0001124,0.0017568,0.0101076,0.006112,-4.6940494,7.2e-05,0.0533849,94.22523,0.6345519,2.3429725,0.9436686,0.3065144,0.9672216,0.1457005,0.9219856,0.9149743,0.8431738,0.698776,0.8356018,0.0825765,12.537409,0.1522891,0.2457252,0.1300094,0.9127342,0.9402064,0.0359723,0.6498635,0.952271,0.9230669,0.0224594,0.9061896,0.8733326,1.8842548,4.5008097,5.4648447,6.299559,0.0072332,0.5857972,0.9856907,0.3342025,0.2485839,0.7532534,0.5776838,0.9001787,0.7554522,0.8640966,0.9521504,0.9743446,[1*][H]>>[1*]CC,[1*][H],[1*]CC,left,2.5733191
17,Str_g_11458,COc1cccc2c1cc(CCCC[N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,-4.2323422,3.2092957,4.769169,0.0075599,0.0003729,0.0020111,0.0024275,0.0017648,-4.748805,2.5e-05,0.0723764,97.859695,0.3928794,1.4545336,0.7214146,0.2607408,0.2267964,0.0663912,0.6526006,0.378963,0.8163126,0.1538544,0.3900779,0.0390222,4.7154136,0.2821373,0.2951559,0.3693148,0.9676487,0.9210017,0.041663,0.7023251,0.8613207,0.9053905,0.0044313,0.230206,0.93538,0.5880586,3.5432532,4.793267,4.7638445,0.0156032,0.0864795,0.9723865,0.0378996,0.2696235,0.1924741,0.7859788,0.8110998,0.3585562,0.8038956,0.8918274,0.9568101,[2*][1*]>>[1*]CCCC[2*],[2*][1*],[1*]CCCC[2*],left,2.8368158
18,Str_g_11325,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCOC3(C)C,-4.3216343,2.7665184,4.6884737,0.0023333,0.0003883,0.0062863,0.0058387,0.0127193,-4.6684318,6.87e-05,0.0764481,95.535614,0.6719894,3.1453621,0.5147338,0.9001235,0.1568689,0.1115264,0.6757822,0.2885122,0.3014324,0.1395697,0.0747987,0.0645221,1.279538,0.2568976,0.1422892,0.3958027,0.9829678,0.8841875,0.0491751,0.3279747,0.795888,0.899583,0.0043027,0.3262322,0.9370802,0.6300626,3.6714485,4.9678593,4.7442837,0.0478586,0.4320808,0.9671223,0.0301456,0.3511857,0.5740673,0.8874847,0.8594303,0.239024,0.8052576,0.9366601,0.9328845,[2*][1*]>>[1*]C([2*])(C)C,[2*][1*],[1*]C([2*])(C)C,left,3.0078755
19,Str_g_11526,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)CO)cc3c(c12)OCO3,-5.555394,2.8677158,3.1798053,0.0225424,0.0001925,0.0034308,0.002122,0.0039761,-4.8047824,7.58e-05,0.024732,92.54365,1.1574397,6.5630903,0.9501044,0.4489756,0.827563,0.1774165,0.671842,0.8358652,0.8599432,0.3644459,0.8489535,0.0946891,8.789095,0.4070218,0.068734,0.3732779,0.9280239,0.9500532,0.1236946,0.6703281,0.9374948,0.9372696,0.0217195,0.9351562,0.9381221,1.6549472,4.3065515,5.571394,5.70409,0.0049375,0.6047011,0.9883476,0.4698738,0.2870594,0.6473948,0.5862811,0.9279814,0.8210038,0.6616558,0.9495865,0.9786986,[2*][1*]>>[1*]C[2*],[2*][1*],[1*]C[2*],left,2.7663231
20,Str_g_8803,COc1ccc(Br)c2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,-4.6127205,2.0182066,4.557216,0.0037575,8.83e-05,0.0126756,0.0029478,0.0018027,-4.786267,2.25e-05,0.0522518,98.97448,0.5749795,1.5562054,0.7842758,0.2096302,0.2259948,0.0686106,0.7310652,0.4036164,0.7336194,0.1416558,0.2812297,0.0304143,1.2895898,0.3705624,0.1120483,0.2433048,0.9841235,0.9399117,0.0441561,0.4887396,0.8804166,0.9215886,0.0207474,0.7901592,0.9407558,0.57685,3.811859,5.252729,5.2626257,0.0095512,0.2804778,0.9796345,0.0161184,0.1801278,0.5335659,0.3960819,0.8546774,0.582459,0.6906885,0.9454598,0.9639809,[1*][H]>>[1*]Br,[1*][H],[1*]Br,left,2.8065795
21,Str_g_9076,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OC(OC)O3,-4.3652377,1.9296921,3.6593692,0.0088177,0.0006038,0.003286,0.0009438,0.0007828,-4.7657113,2.59e-05,0.0436495,92.20962,0.4669393,6.9547086,0.5316226,0.9120787,0.0701541,0.2211211,0.5158739,0.2628936,0.3261974,0.1373019,0.0807023,0.0601454,2.1719084,0.2682532,0.1084853,0.5117172,0.9845946,0.9623694,0.1560674,0.3351729,0.9148673,0.9440845,0.0087868,0.6740262,0.9405808,0.7381212,3.5075247,4.649306,4.7105465,0.0195879,0.7529515,0.9650785,0.0141118,0.1127355,0.3130966,0.4111712,0.8586865,0.5970116,0.6976636,0.9215509,0.9456865,[1*][H]>>[1*]OC,[1*][H],[1*]OC,left,3.4068093
22,Str_g_8865,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OC(C(C)=O)O3,-4.2060084,1.343898,3.0268462,0.0119396,0.0011128,0.0142185,0.0017519,0.0012595,-5.0135326,1.32e-05,0.0752092,93.236916,0.4319826,5.9935546,0.3181458,0.9048313,0.1083912,0.1014944,0.613319,0.414359,0.284167,0.1365968,0.1006415,0.0850477,2.1068833,0.7100222,0.0196273,0.9407052,0.9877918,0.9851045,0.2630075,0.2564072,0.8872256,0.8549942,0.0107847,0.467998,0.8219218,0.5040799,3.6473708,6.061076,4.7409525,0.0128058,0.5946634,0.945094,0.0172243,0.058831,0.3635042,0.3804108,0.7889092,0.5185356,0.2982628,0.9096074,0.8959666,[1*][H]>>[1*]C(C)=O,[1*][H],[1*]C(C)=O,left,3.4261823
23,Str_g_8414,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO[C@@H]3C,-4.31169,2.1695716,4.3943834,0.0012924,0.0004187,0.0054281,0.0018672,0.0028218,-4.784502,2.6e-05,0.0637899,95.81267,0.5800798,3.5023668,0.5207028,0.9123611,0.1131007,0.1114484,0.645069,0.2586312,0.1914202,0.1311113,0.1063102,0.0666807,1.2567545,0.273158,0.1087871,0.7256574,0.9841085,0.9770467,0.0626502,0.9176185,0.807619,0.9214413,0.0033821,0.3498106,0.935797,0.5893242,3.801928,5.654116,5.111495,0.3227458,0.5055273,0.9686959,0.2526722,0.259855,0.4292108,0.8293467,0.8539423,0.6330991,0.7926595,0.9274842,0.952705,[1*]O[2*]>>[1*]O[C@@H]([2*])C,[1*]O[2*],[1*]O[C@@H]([2*])C,left,3.399914
24,Str_g_11592,COc1cccc2c1cc(N[N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,-3.9627984,1.8603472,3.7671795,0.0008562,0.0005614,0.0052326,0.0022871,0.1279332,-4.91246,1.75e-05,0.0128147,96.320145,0.5108554,3.7010791,0.8665344,0.4785166,0.1498648,0.0639866,0.5993858,0.4949998,0.7261326,0.1308293,0.2714612,0.0321445,3.5737104,0.7170992,0.1012517,0.663464,0.9882284,0.6822197,0.0561042,0.3485742,0.8330536,0.901976,0.0056332,0.3604184,0.9434999,0.6079694,3.4584208,4.331599,4.694601,0.0047272,0.3650466,0.9842644,0.0152346,0.2302088,0.0436977,0.6933228,0.869925,0.795449,0.9225671,0.9289111,0.9799454,[2*][1*]>>[1*]N[2*],[2*][1*],[1*]N[2*],left,2.8637621
25,Str_g_11334,COc1cccc2c1cc(C(=O)[N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,-4.1200366,1.7543008,3.2317696,0.0006705,0.0002336,0.0051727,0.0080507,0.0323918,-4.7218184,6.05e-05,0.0447108,92.75462,0.6692579,6.8548074,0.5620224,0.435543,0.1007174,0.0570254,0.4175094,0.2481174,0.6549566,0.1269872,0.2300204,0.0227169,2.0525694,0.6310828,0.090015,0.6114244,0.9875211,0.9402879,0.0227862,0.1836534,0.8097419,0.9438428,0.0038462,0.3161202,0.2743757,0.6181649,3.2938263,4.2593164,4.5061235,0.0093819,0.4123448,0.9704744,0.0273519,0.1985561,0.0807291,0.6871792,0.797799,0.4759042,0.7222212,0.9059432,0.9485601,[2*][1*]>>[1*]C([2*])=O,[2*][1*],[1*]C([2*])=O,left,2.8477229
26,Str_g_11592,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCON3,-4.6231837,1.9809718,4.178809,0.0006372,0.0034353,0.0056785,0.0031631,0.0072121,-4.7980165,2.93e-05,0.1149581,97.64607,0.891382,3.6290684,0.7879683,0.4535418,0.0925248,0.0612255,0.5518392,0.3727836,0.6200952,0.1255212,0.1126652,0.021515,2.5907354,0.5988663,0.1017656,0.3975078,0.986787,0.9634774,0.0349646,0.4249953,0.8468368,0.9312416,0.0043404,0.6258937,0.941377,0.5925732,3.6856709,4.791923,4.8452992,0.0036106,0.4432801,0.9873707,0.0109128,0.4480196,0.4050757,0.5274298,0.9054207,0.6573358,0.7294526,0.9532218,0.9514289,[2*][1*]>>[1*]N[2*],[2*][1*],[1*]N[2*],left,3.109683
27,Str_g_11659,CSOc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,-4.5253916,2.3925455,4.476649,0.0021136,0.0007635,0.0147482,0.0014822,0.0017427,-4.7706413,1.93e-05,0.1977449,98.64864,0.3511734,1.5414498,0.8772991,0.1758348,0.2336836,0.066883,0.8163304,0.3385205,0.8060921,0.1388811,0.3629575,0.0532234,3.621111,0.262573,0.0830579,0.8252846,0.9873177,0.9790817,0.1579418,0.8252104,0.9304942,0.9311934,0.0081016,0.649678,0.9553434,0.6032917,3.6326,5.830245,5.1418896,0.0020415,0.1903529,0.9889117,0.0173809,0.5610122,0.3211626,0.51527,0.9170483,0.6052752,0.7975334,0.9541807,0.9470501,[2*][1*]>>[1*]S[2*],[2*][1*],[1*]S[2*],left,3.0063035
28,Str_g_1708,COc1cccc2c1cc([N+](=O)[O-])c1c(CCC(=O)O)cc3c(c12)OCO3,-5.661151,2.743009,3.955531,0.0022959,0.0003166,0.0026481,0.0016713,0.0019992,-4.695639,7.62e-05,0.0603004,97.50994,0.2479069,2.0720377,0.935968,0.2867135,0.2958554,0.1114674,0.5851306,0.9421857,0.792502,0.3877228,0.4716334,0.0419029,8.58361,0.6544264,0.0332735,0.6854358,0.9441206,0.9445284,0.1229193,0.8373198,0.9169732,0.9153889,0.0048326,0.2394025,0.9091957,1.0971488,4.071391,4.9060216,5.551512,0.0081607,0.4288573,0.9537614,0.0491728,0.3806006,0.67269,0.8287342,0.8366108,0.1602656,0.2452986,0.9176518,0.9411275,[1*]C([2*])=O>>[1*]C(=O)CC[2*],[1*]C([2*])=O,[1*]C(=O)CC[2*],left,2.6392541
29,Str_g_11582,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCOC(=O)N3,-4.5591617,1.9360992,3.8910663,0.0006289,0.0029913,0.0037541,0.0029336,0.0124097,-4.8399777,4.92e-05,0.0151064,94.91483,0.6720584,4.426697,0.8548218,0.4018066,0.1155633,0.0704362,0.539866,0.4265897,0.7228002,0.133743,0.2466837,0.0243376,4.074287,0.5069175,0.0840861,0.177293,0.9880972,0.9534941,0.0222818,0.4154011,0.8936442,0.9015743,0.0033205,0.074402,0.903979,0.4098408,3.694579,4.800215,4.818039,0.0052122,0.3400248,0.9871475,0.013573,0.358804,0.4404733,0.4790331,0.8946117,0.6919052,0.7094728,0.9600567,0.9587495,[2*][1*]>>[1*]NC([2*])=O,[2*][1*],[1*]NC([2*])=O,left,2.9131572
30,Str_g_9017,COc1cc(C[NH+](C)C)cc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,-3.0483122,1.5129343,1.8332537,0.0003052,0.8567939,0.0126255,0.0061454,0.0078915,-5.274556,1.65e-05,0.0703448,85.38196,1.877205,15.576749,0.6767603,0.8921837,0.0499361,0.0624189,0.0341433,0.1290573,0.4499438,0.2074484,0.0414231,0.0445853,7.035715,0.7116884,0.2646335,0.3162956,0.9447862,0.6536064,0.5115838,0.8912192,0.3648483,0.802104,0.0039607,0.03029,0.9470827,0.4399846,3.2905712,4.4137225,4.513952,0.0129667,0.0866121,0.9123072,0.0076169,0.1246915,0.0362733,0.0203674,0.5824973,0.018385,0.0852351,0.9157514,0.8947233,[1*][H]>>[1*]C[NH+](C)C,[1*][H],[1*]C[NH+](C)C,left,3.4739751
31,Str_g_5837,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)O[C@@H](C)CO3,-4.2719455,2.5458674,4.4759655,0.0144353,0.0002626,0.0044453,0.0013739,0.0009913,-4.8424277,2.73e-05,0.086277,94.23853,0.419357,6.3425446,0.5313088,0.5460832,0.1417417,0.0850066,0.735189,0.3265543,0.5797215,0.1434718,0.0818518,0.05826,2.1841679,0.4642169,0.1546324,0.7938154,0.9836918,0.9735447,0.0634415,0.578941,0.921849,0.9122521,0.0042245,0.3786712,0.9055988,0.516348,3.64955,4.886246,4.6722455,0.178785,0.6470036,0.9694537,0.2232468,0.247195,0.5562164,0.9143118,0.896002,0.4836922,0.8043812,0.9333841,0.9482478,[1*]C[2*]>>[1*]C[C@@H]([2*])C,[1*]C[2*],[1*]C[C@@H]([2*])C,left,3.215437
